,dealer_card,dealer_hand,dealer_final_hand,payroll_0,hand_0,init_move_0,payroll_1,hand_1,init_move_1,payroll_2,hand_2,init_move_2,payroll_3,hand_3,init_move_3,hand_earnings_0,hand_result_0,hand_earnings_1,hand_result_1,hand_earnings_2,hand_result_2,hand_earnings_3,hand_result_3
343,3,13,20,630.0,H10,D,335.0,55,D,300.0,H20,S,910.0,H16,S,-20.0,L,0.0,P,0.0,P,-10.0,L
344,Q,20,20,620.0,H7,H,325.0,H15,H,290.0,H10,H,900.0,S19,S,-10.0,L,-10.0,L,-10.0,L,-10.0,L
345,7,15,22,630.0,H14,H,345.0,H11,D,280.0,H16,H,890.0,H14,H,10.0,W,20.0,W,-10.0,L,-10.0,L
346,T,12,21,620.0,S19,S,360.0,S21,BLACKJACK,280.0,H15,H,890.0,H13,H,-10.0,L,15.0,W,0.0,P,0.0,P
347,9,12,22,630.0,H14,H,380.0,H10,D,290.0,H19,S,900.0,H20,S,10.0,W,20.0,W,10.0,W,10.0,W
348,4,6,24,640.0,H12,S,400.0,S18,D,300.0,H20,S,910.0,H12,S,10.0,W,20.0,W,10.0,W,10.0,W
349,K,13,19,660.0,H9,H,410.0,H13,H,290.0,H18,S,900.0,H17,S,20.0,W,10.0,W,-10.0,L,-10.0,L
350,A,21,,650.0,H17,,400.0,S15,,280.0,H13,,890.0,H17,,-10.0,L,-10.0,L,-10.0,L,-10.0,L
351,7,17,17,660.0,H12,H,410.0,H20,S,290.0,H15,H,880.0,S13,H,10.0,W,10.0,W,10.0,W,-10.0,L
352,9,19,19,650.0,H16,H,400.0,H18,S,280.0,H5,H,870.0,H13,H,-10.0,L,-10.0,L,-10.0,L,-10.0,L
353,8,15,24,660.0,H19,S,410.0,JJ,S,290.0,S19,S,880.0,H14,H,10.0,W,10.0,W,10.0,W,10.0,W
354,2,7,18,650.0,H12,H,425.0,S21,BLACKJACK,300.0,H9,H,895.0,S21,BLACKJACK,-10.0,L,15.0,W,10.0,W,15.0,W
355,K,17,17,660.0,JJ,S,435.0,H14,H,290.0,H12,H,905.0,H5,H,10.0,W,10.0,W,-10.0,L,10.0,W
356,T,16,26,670.0,H18,S,445.0,H19,S,300.0,H16,H,895.0,H13,H,10.0,W,10.0,W,10.0,W,-10.0,L
357,J,20,20,660.0,H12,H,435.0,S13,H,290.0,S16,H,885.0,H15,H,-10.0,L,-10.0,L,-10.0,L,-10.0,L
358,5,11,20,660.0,H9,D,415.0,44,P,280.0,H13,S,865.0,S18,D,0.0,P,-20.0,L,-10.0,L,-20.0,L
359,2,7,17,650.0,H13,S,425.0,H12,H,300.0,H10,D,865.0,H17,S,-10.0,L,10.0,W,20.0,W,0.0,P
360,7,18,18,640.0,H13,H,415.0,H17,S,280.0,H5,H,855.0,H13,H,-10.0,L,-10.0,L,-20.0,L,-10.0,L
361,K,16,24,650.0,H13,H,425.0,H17,S,270.0,H12,H,845.0,AA,P,10.0,W,10.0,W,-10.0,L,-10.0,L
362,2,8,19,640.0,H14,S,405.0,H10,D,260.0,H14,S,835.0,H7,H,-10.0,L,-20.0,L,-10.0,L,-10.0,L
363,7,11,21,630.0,S19,S,395.0,H13,H,250.0,H13,H,825.0,S19,S,-10.0,L,-10.0,L,-10.0,L,-10.0,L
364,K,18,18,640.0,H20,S,385.0,H12,H,240.0,H14,H,825.0,H18,S,10.0,W,-10.0,L,-10.0,L,0.0,P
365,J,18,18,650.0,H13,H,395.0,H19,S,250.0,QQ,S,835.0,H20,S,10.0,W,10.0,W,10.0,W,10.0,W
366,Q,13,20,640.0,H13,H,385.0,H12,H,240.0,S18,H,825.0,H17,S,-10.0,L,-10.0,L,-10.0,L,-10.0,L
367,K,12,20,620.0,44,H,375.0,S13,H,230.0,H13,H,825.0,H10,H,-20.0,L,-10.0,L,-10.0,L,0.0,P
368,8,18,18,620.0,H9,H,365.0,H17,S,230.0,S14,H,835.0,H16,H,0.0,P,-10.0,L,0.0,P,10.0,W
369,K,19,19,635.0,S21,BLACKJACK,355.0,H15,H,220.0,H8,H,825.0,H13,H,15.0,W,-10.0,L,-10.0,L,-10.0,L
370,T,16,20,625.0,H13,H,345.0,H17,S,210.0,H15,H,815.0,H15,H,-10.0,L,-10.0,L,-10.0,L,-10.0,L
371,T,17,17,635.0,H16,H,335.0,H14,H,220.0,H18,S,815.0,H16,H,10.0,W,-10.0,L,10.0,W,0.0,P
372,8,13,21,625.0,H19,S,325.0,H12,H,210.0,H13,H,795.0,H10,D,-10.0,L,-10.0,L,-10.0,L,-20.0,L
373,5,9,24,645.0,H9,D,335.0,H20,S,230.0,H11,D,815.0,S14,D,20.0,W,10.0,W,20.0,W,20.0,W
374,7,9,23,660.0,S21,BLACKJACK,345.0,H13,H,240.0,H20,S,830.0,S21,BLACKJACK,15.0,W,10.0,W,10.0,W,15.0,W
375,4,14,19,650.0,H17,S,325.0,S13,H,230.0,H18,S,840.0,TT,S,-10.0,L,-20.0,L,-10.0,L,10.0,W
376,3,10,18,640.0,H17,S,340.0,S21,BLACKJACK,240.0,H19,S,830.0,H14,S,-10.0,L,15.0,W,10.0,W,-10.0,L
377,7,12,18,630.0,H12,H,330.0,H13,H,240.0,H7,H,840.0,S17,H,-10.0,L,-10.0,L,0.0,P,10.0,W
378,2,12,20,620.0,H13,S,310.0,H11,D,230.0,H15,S,830.0,H19,S,-10.0,L,-20.0,L,-10.0,L,-10.0,L
379,K,16,26,610.0,H13,H,300.0,H15,H,220.0,H13,H,845.0,S21,BLACKJACK,-10.0,L,-10.0,L,-10.0,L,15.0,W
380,9,19,19,600.0,H15,H,290.0,H12,H,210.0,H8,H,835.0,H13,H,-10.0,L,-10.0,L,-10.0,L,-10.0,L
381,4,14,22,620.0,H11,D,300.0,H6,H,220.0,H13,S,855.0,H5,H,20.0,W,10.0,W,10.0,W,20.0,W
382,J,12,23,630.0,H6,H,310.0,H8,H,210.0,H14,H,845.0,H16,H,10.0,W,10.0,W,-10.0,L,-10.0,L
383,6,13,22,640.0,H15,S,320.0,H14,S,220.0,H20,S,855.0,H16,S,10.0,W,10.0,W,10.0,W,10.0,W
384,A,21,,630.0,H15,,310.0,S14,,210.0,H12,,845.0,H12,,-10.0,L,-10.0,L,-10.0,L,-10.0,L
385,A,17,17,620.0,H15,H,320.0,S13,H,220.0,H10,H,845.0,H17,S,-10.0,L,10.0,W,10.0,W,0.0,P
386,8,18,18,630.0,H15,H,320.0,H11,D,210.0,H7,H,855.0,44,H,10.0,W,0.0,P,-10.0,L,10.0,W
387,7,14,20,620.0,H7,H,310.0,H16,H,190.0,H11,D,845.0,H17,S,-10.0,L,-10.0,L,-20.0,L,-10.0,L
388,K,19,19,610.0,H9,H,290.0,H11,D,200.0,TT,S,835.0,H12,H,-10.0,L,-20.0,L,10.0,W,-10.0,L
389,4,6,18,600.0,H15,S,305.0,S21,BLACKJACK,190.0,H17,S,855.0,H9,D,-10.0,L,15.0,W,-10.0,L,20.0,W
390,K,18,18,610.0,H20,S,295.0,H15,H,180.0,H7,H,865.0,H20,S,10.0,W,-10.0,L,-10.0,L,10.0,W
391,4,14,23,620.0,H12,S,305.0,H20,S,190.0,H14,S,880.0,S21,BLACKJACK,10.0,W,10.0,W,10.0,W,15.0,W
392,9,20,20,610.0,H8,H,305.0,S20,S,180.0,AA,P,870.0,H8,H,-10.0,L,0.0,P,-10.0,L,-10.0,L
393,2,12,25,600.0,H12,H,325.0,H11,D,200.0,55,D,880.0,H17,S,-10.0,L,20.0,W,20.0,W,10.0,W
394,6,16,21,590.0,H17,S,315.0,H7,H,190.0,H13,S,870.0,H16,S,-10.0,L,-10.0,L,-10.0,L,-10.0,L
395,T,16,26,605.0,S21,BLACKJACK,325.0,H10,H,200.0,H18,S,880.0,H19,S,15.0,W,10.0,W,10.0,W,10.0,W
396,2,12,20,595.0,H16,S,315.0,S15,H,190.0,H12,H,880.0,H20,S,-10.0,L,-10.0,L,-10.0,L,0.0,P
397,A,21,,585.0,S20,,305.0,H17,,180.0,S13,,870.0,H12,,-10.0,L,-10.0,L,-10.0,L,-10.0,L
398,9,19,19,585.0,H19,S,320.0,S21,BLACKJACK,170.0,H13,H,860.0,H7,H,0.0,P,15.0,W,-10.0,L,-10.0,L
399,J,17,17,595.0,H7,H,330.0,H12,H,160.0,H15,H,850.0,H15,H,10.0,W,10.0,W,-10.0,L,-10.0,L
400,3,9,20,585.0,H14,S,320.0,H16,S,140.0,H9,D,830.0,H11,D,-10.0,L,-10.0,L,-20.0,L,-20.0,L
401,T,20,20,600.0,S21,BLACKJACK,310.0,H12,H,130.0,H13,H,830.0,H20,S,15.0,W,-10.0,L,-10.0,L,0.0,P
402,7,17,17,590.0,H16,H,320.0,H19,S,110.0,H11,D,840.0,S18,S,-10.0,L,10.0,W,-20.0,L,10.0,W
403,3,13,24,600.0,H7,H,340.0,H10,D,120.0,S15,H,850.0,H12,H,10.0,W,20.0,W,10.0,W,10.0,W
404,J,16,26,590.0,H14,H,350.0,H20,S,130.0,77,H,860.0,H12,H,-10.0,L,10.0,W,10.0,W,10.0,W
405,6,17,17,580.0,H12,S,330.0,H11,D,130.0,H11,D,850.0,H15,S,-10.0,L,-20.0,L,0.0,P,-10.0,L
406,4,8,18,580.0,H18,S,320.0,H13,S,120.0,H17,S,860.0,H20,S,0.0,P,-10.0,L,-10.0,L,10.0,W
407,6,9,26,600.0,H9,D,330.0,H17,S,130.0,H15,S,870.0,33,P,20.0,W,10.0,W,10.0,W,10.0,W
408,K,20,20,590.0,H6,H,320.0,H16,H,150.0,H11,D,860.0,H19,S,-10.0,L,-10.0,L,20.0,W,-10.0,L
409,A,13,21,580.0,H11,H,335.0,S21,BLACKJACK,140.0,H14,H,850.0,H8,H,-10.0,L,15.0,W,-10.0,L,-10.0,L
410,8,17,17,580.0,H13,H,345.0,H19,S,130.0,H15,H,840.0,66,S,0.0,P,10.0,W,-10.0,L,-10.0,L
411,7,14,24,570.0,H16,H,335.0,H12,H,140.0,S14,H,830.0,H15,H,-10.0,L,-10.0,L,10.0,W,-10.0,L
412,J,20,20,560.0,H9,H,325.0,H17,S,140.0,H20,S,820.0,H14,H,-10.0,L,-10.0,L,0.0,P,-10.0,L
413,K,21,,550.0,55,,315.0,H18,,130.0,H17,,810.0,S15,,-10.0,L,-10.0,L,-10.0,L,-10.0,L
